,date
0,2024-04-10
1,2024-04-10
2,2024-04-07
3,2024-04-03
4,2024-04-02
5,2024-04-02
6,2024-03-28
7,2024-03-28
8,2024-03-26
9,2024-03-26
10,2024-03-25
11,2024-03-25
12,2024-03-25
13,2024-03-21
14,2024-03-21
15,2024-03-19
16,2024-03-19
17,2024-03-14
18,2024-03-14
19,2024-03-12
20,2024-03-11
21,2024-03-10
22,2024-03-05
23,2024-03-04
24,2024-03-04
25,2024-03-04
26,2024-03-02
27,2024-03-01
28,2024-02-29
29,2024-02-29
30,2024-02-23
31,2024-02-21
32,2024-02-17
33,2024-02-17
34,2024-02-16
35,2024-02-11
36,2024-02-08
37,2024-02-06
38,2024-02-05
39,2024-02-02
40,2024-01-30
41,2024-01-29
42,2024-01-28
43,2024-01-26
44,2024-01-23
45,2024-01-21
46,2024-01-18
47,2024-01-18
48,2024-01-17
49,2024-01-16
50,2024-01-15
51,2024-01-12
52,2024-01-12
53,2024-01-09
54,2024-01-07
55,2024-01-03
56,2024-01-02
57,2023-12-29
58,2023-12-29
59,2023-12-27
60,2023-12-27
61,2023-12-23
62,2023-12-21
63,2023-12-21
64,2023-12-21
65,2023-12-20
66,2023-12-20
67,2023-12-18
68,2023-12-17
69,2023-12-15
70,2023-12-14
71,2023-12-12
72,2023-12-12
73,2023-12-10
74,2023-12-10
75,2023-12-09
76,2023-12-06
77,2023-12-05
78,2023-12-04
79,2023-12-03
80,2023-11-30
81,2023-11-26
82,2023-11-23
83,2023-11-19
84,2023-11-19
85,2023-11-16
86,2023-11-16
87,2023-11-14
88,2023-11-12
89,2023-11-08
90,2023-11-07
91,2023-11-05
92,2023-11-05
93,2023-11-04
94,2023-10-31
95,2023-10-28
96,2023-10-24
97,2023-10-23
98,2023-10-22
99,2023-10-22
100,2023-10-21
101,2023-10-21
102,2023-10-19
103,2023-10-19
104,2023-10-17
105,2023-10-17
106,2023-10-16
107,2023-10-14
108,2023-10-14
109,2023-10-12
110,2023-10-12
111,2023-10-11
112,2023-10-11
113,2023-10-10
114,2023-10-08
115,2023-10-07
116,2023-10-07
117,2023-10-05
118,2023-10-03
119,2023-10-02
120,2023-10-02
121,2023-10-02
122,2023-09-30
123,2023-09-30
124,2023-09-28
125,2023-09-28
126,2023-09-27
127,2023-09-23
128,2023-09-22
129,2023-09-22
130,2023-09-20
131,2023-09-20
132,2023-09-19
133,2023-09-18
134,2023-09-16
135,2023-09-15
136,2023-09-13
137,2023-09-11
138,2023-09-10
139,2023-09-09
140,2023-09-06
141,2023-09-04
142,2023-09-04
143,2023-09-04
144,2023-09-04
145,2023-09-02
146,2023-09-01
147,2023-09-01
148,2023-08-31
149,2023-08-30
150,2023-08-30
151,2023-08-28
152,2023-08-27
153,2023-08-27
154,2023-08-27
155,2023-08-26
156,2023-08-26
157,2023-08-25
158,2023-08-24
159,2023-08-19
160,2023-08-13
161,2023-08-12
162,2023-08-11
163,2023-08-08
164,2023-08-08
165,2023-08-08
166,2023-08-05
167,2023-08-04
168,2023-08-01
169,2023-07-31
170,2023-07-31
171,2023-07-31
172,2023-07-29
173,2023-07-26
174,2023-07-26
175,2023-07-25
176,2023-07-24
177,2023-07-21
178,2023-07-21
179,2023-07-20
180,2023-07-20
181,2023-07-20
182,2023-07-18
183,2023-07-17
184,2023-07-17
185,2023-07-16
186,2023-07-09
187,2023-07-09
188,2023-07-08
189,2023-07-06
190,2023-07-05
191,2023-07-05
192,2023-07-04
193,2023-07-03
194,2023-07-02
195,2023-06-30
196,2023-06-29
197,2023-06-29
198,2023-06-27
199,2023-06-27
200,2023-06-25
201,2023-06-25
202,2023-06-25
203,2023-06-24
204,2023-06-24
205,2023-06-23
206,2023-06-22
207,2023-06-20
208,2023-06-20
209,2023-06-19
210,2023-06-19
211,2023-06-16
212,2023-06-13
213,2023-06-12
214,2023-06-11
215,2023-06-11
216,2023-06-10
217,2023-06-08
218,2023-06-07
219,2023-06-06
220,2023-06-06
221,2023-06-06
222,2023-06-05
223,2023-06-03
224,2023-06-03
225,2023-06-02
226,2023-06-01
227,2023-05-30
228,2023-05-29
229,2023-05-29
230,2023-05-27
231,2023-05-23
232,2023-05-23
233,2023-05-23
234,2023-05-22
235,2023-05-22
236,2023-05-19
237,2023-05-17
238,2023-05-17
239,2023-05-17
240,2023-05-14
241,2023-05-14
242,2023-05-13
243,2023-05-08
244,2023-05-06
245,2023-05-06
246,2023-05-01
247,2023-04-28
248,2023-04-26
249,2023-04-24
250,2023-04-24
251,2023-04-23
252,2023-04-22
253,2023-04-18
254,2023-04-18
255,2023-04-17
256,2023-04-17
257,2023-04-16
258,2023-04-15
259,2023-04-15
260,2023-04-14
261,2023-04-13
262,2023-04-12
263,2023-04-11
264,2023-04-10
265,2023-04-09
266,2023-04-09
267,2023-04-09
268,2023-04-06
269,2023-04-06
270,2023-04-05
271,2023-03-31
272,2023-03-30
273,2023-03-29
274,2023-03-27
275,2023-03-26
276,2023-03-26
277,2023-03-21
278,2023-03-21
279,2023-03-20
280,2023-03-20
281,2023-03-18
282,2023-03-18
283,2023-03-17
284,2023-03-17
285,2023-03-16
286,2023-03-15
287,2023-03-15
288,2023-03-15
289,2023-03-14
290,2023-03-13
291,2023-03-12
292,2023-03-12
293,2023-03-10
294,2023-03-10
295,2023-03-10
296,2023-03-09
297,2023-03-08
298,2023-03-06
299,2023-03-04
300,2023-03-02
301,2023-03-02
302,2023-02-28
303,2023-02-27
304,2023-02-27
305,2023-02-27
306,2023-02-26
307,2023-02-26
308,2023-02-23
309,2023-02-18
310,2023-02-18
311,2023-02-16
312,2023-02-15
313,2023-02-07
314,2023-02-06
315,2023-02-04
316,2023-01-31
317,2023-01-31
318,2023-01-28
319,2023-01-28
320,2023-01-24
321,2023-01-24
322,2023-01-23
323,2023-01-21
324,2023-01-19
325,2023-01-19
326,2023-01-18
327,2023-01-17
328,2023-01-17
329,2023-01-16
330,2023-01-09
331,2023-01-08
332,2023-01-06
333,2023-01-02
334,2023-01-02
335,2023-01-02
336,2023-01-01
337,2022-12-30
338,2022-12-29
339,2022-12-29
340,2022-12-29
341,2022-12-28
342,2022-12-24
343,2022-12-22
344,2022-12-20
345,2022-12-19
346,2022-12-19
347,2022-12-19
348,2022-12-17
349,2022-12-14
350,2022-12-12
351,2022-12-12
352,2022-12-10
353,2022-12-10
354,2022-12-09
355,2022-12-09
356,2022-12-08
357,2022-12-03
358,2022-11-30
359,2022-11-28
360,2022-11-26
361,2022-11-25
362,2022-11-23
363,2022-11-19
364,2022-11-19
365,2022-11-18
366,2022-11-07
367,2022-11-07
368,2022-11-05
369,2022-10-31
370,2022-10-31
371,2022-10-31
372,2022-10-30
373,2022-10-30
374,2022-10-30
375,2022-10-25
376,2022-10-24
377,2022-10-23
378,2022-10-22
379,2022-10-22
380,2022-10-21
381,2022-10-17
382,2022-10-17
383,2022-10-17
384,2022-10-16
385,2022-10-15
386,2022-10-14
387,2022-10-06
388,2022-10-01
389,2022-10-01
390,2022-09-25
391,2022-09-25
392,2022-09-24
393,2022-09-23
394,2022-09-20
395,2022-09-16
396,2022-09-14
397,2022-09-11
398,2022-09-10
399,2022-09-07
400,2022-09-07
401,2022-09-06
402,2022-08-31
403,2022-08-28
404,2022-08-23
405,2022-08-23
406,2022-08-22
407,2022-08-21
408,2022-08-20
409,2022-08-15
410,2022-08-10
411,2022-08-04
412,2022-07-31
413,2022-07-30
414,2022-07-27
415,2022-07-27
416,2022-07-27
417,2022-07-23
418,2022-07-22
419,2022-07-22
420,2022-07-20
421,2022-07-18
422,2022-07-18
423,2022-07-17
424,2022-07-13
425,2022-07-12
426,2022-07-09
427,2022-07-07
428,2022-07-06
429,2022-07-06
430,2022-07-04
431,2022-07-04
432,2022-06-30
433,2022-06-30
434,2022-06-29
435,2022-06-28
436,2022-06-27
437,2022-06-27
438,2022-06-27
439,2022-06-25
440,2022-06-25
441,2022-06-24
442,2022-06-23
443,2022-06-23
444,2022-06-22
445,2022-06-20
446,2022-06-19
447,2022-06-18
448,2022-06-17
449,2022-06-16
450,2022-06-15
451,2022-06-13
452,2022-06-11
453,2022-06-08
454,2022-06-06
455,2022-06-03
456,2022-06-02
457,2022-06-02
458,2022-06-01
459,2022-05-30
460,2022-05-30
461,2022-05-30
462,2022-05-27
463,2022-05-24
464,2022-05-23
465,2022-05-19
466,2022-05-18
467,2022-05-18
468,2022-05-18
469,2022-05-11
470,2022-05-11
471,2022-05-09
472,2022-05-08
473,2022-05-05
474,2022-05-04
475,2022-05-04
476,2022-04-29
477,2022-04-29
478,2022-04-28
479,2022-04-27
480,2022-04-24
481,2022-04-23
482,2022-04-20
483,2022-04-20
484,2022-04-20
485,2022-04-16
486,2022-04-15
487,2022-04-14
488,2022-04-12
489,2022-04-12
490,2022-04-11
491,2022-04-08
492,2022-04-07
493,2022-04-07
494,2022-04-06
495,2022-04-06
496,2022-04-06
497,2022-04-04
498,2022-04-04
499,2022-04-04
500,2022-04-04
501,2022-04-03
502,2022-04-03
503,2022-04-02
504,2022-04-02
505,2022-03-31
506,2022-03-31
507,2022-03-30
508,2022-03-29
509,2022-03-29
510,2022-03-29
511,2022-03-27
512,2022-03-25
513,2022-03-19
514,2022-03-18
515,2022-03-17
516,2022-03-16
517,2022-03-11
518,2022-03-11
519,2022-03-06
520,2022-03-06
521,2022-03-05
522,2022-03-04
523,2022-03-03
524,2022-03-02
525,2022-02-28
526,2022-02-26
527,2022-02-21
528,2022-02-20
529,2022-02-19
530,2022-02-18
531,2022-02-13
532,2022-02-13
533,2022-02-11
534,2022-02-08
535,2022-02-08
536,2022-02-01
537,2022-01-25
538,2022-01-25
539,2022-01-19
540,2022-01-12
541,2022-01-12
542,2022-01-10
543,2022-01-09
544,2022-01-09
545,2022-01-09
546,2022-01-07
547,2022-01-06
548,2022-01-06
549,2022-01-02
550,2021-12-30
551,2021-12-29
552,2021-12-28
553,2021-12-27
554,2021-12-27
555,2021-12-24
556,2021-12-23
557,2021-12-20
558,2021-12-19
559,2021-12-16
560,2021-12-12
561,2021-12-08
562,2021-12-06
563,2021-12-02
564,2021-11-29
565,2021-11-27
566,2021-11-25
567,2021-11-25
568,2021-11-24
569,2021-11-20
570,2021-11-19
571,2021-11-15
572,2021-11-15
573,2021-11-14
574,2021-11-13
575,2021-11-13
576,2021-11-10
577,2021-11-07
578,2021-11-06
579,2021-10-31
580,2021-10-29
581,2021-10-29
582,2021-10-25
583,2021-10-24
584,2021-10-23
585,2021-10-21
586,2021-10-20
587,2021-10-19
588,2021-10-18
589,2021-10-16
590,2021-10-14
591,2021-10-07
592,2021-10-07
593,2021-10-06
594,2021-10-05
595,2021-10-04
596,2021-10-03
597,2021-10-02
598,2021-10-01
599,2021-09-26
600,2021-09-22
601,2021-09-21
602,2021-09-21
603,2021-09-13
604,2021-09-11
605,2021-09-09
606,2021-09-08
607,2021-09-07
608,2021-08-27
609,2021-08-26
610,2021-08-22
611,2021-08-19
612,2021-08-17
613,2021-08-11
614,2021-08-08
615,2021-07-27
616,2021-07-22
617,2021-07-20
618,2021-07-13
619,2021-07-09
620,2021-07-07
621,2021-06-27
622,2021-06-22
623,2021-06-13
624,2021-06-07
625,2021-05-30
626,2021-05-26
627,2021-05-15
628,2021-04-24
629,2021-04-07
630,2021-04-01
631,2021-03-14
632,2021-02-21
633,2021-02-20
634,2021-02-10
635,2021-02-04
636,2021-01-21
637,2020-12-30
638,2020-12-27
639,2020-12-26
640,2020-12-25
641,2020-12-09
642,2020-12-07
643,2020-12-02
644,2020-10-22
645,2020-10-22
646,2020-10-05
647,2020-09-23
648,2020-09-18
649,2020-08-27
650,2020-08-08
651,2020-08-01
652,2020-07-31
653,2020-07-23
654,2020-07-23
655,2020-06-11
656,2020-06-08
657,2020-06-06
658,2020-06-04
659,2020-05-29
660,2020-05-18
661,2020-05-12
662,2020-05-10
663,2020-05-01
664,2020-04-29
665,2020-04-28
666,2020-04-27
667,2020-04-27
668,2020-04-25
669,2020-04-19
670,2020-04-19
671,2020-04-11
672,2020-04-04
673,2020-04-02
674,2020-04-02
675,2020-04-01
676,2020-03-31
677,2020-03-23
678,2020-03-22
679,2020-03-18
680,2020-03-17
681,2020-03-17
682,2020-03-17
683,2020-03-16
684,2020-03-14
685,2020-03-13
686,2020-03-09
687,2020-03-08
688,2020-03-06
689,2020-03-05
690,2020-03-05
691,2020-03-03
692,2020-03-03
693,2020-02-28
694,2020-02-28
695,2020-02-27
696,2020-02-26
697,2020-02-24
698,2020-02-23
